ID,Category,Name,Behavior_Description,Player_Experience,Dev_Difficulty,,,,,
P2,机械坟场-剧毒沼泽,Ranged,狙击炮塔 (Sniper Turret),RZ-02 Sniper Unit,Common,三脚架固定；红外瞄准线清晰可见,红线锁定2秒后造成巨额伤害（Hitscan）；射程极远,【掩体机制】强迫玩家寻找掩体；不能在空地乱跑；压迫感极强,打断瞄准；掩体互射,基础骨骼B + 狙击枪挂件
P2,机械坟场-剧毒沼泽,Ranged,迫击炮手 (Mortar Bot),RZ-04 Mortar Lobber,Uncommon,背着巨大的炮筒；行动缓慢,躲在掩体后；发射抛物线榴弹；造成燃烧区域,【反掩体】克制喜欢一直躲在掩体后苟命的玩家；逼迫出掩体,保持移动；突脸近战,基础骨骼C + 炮筒挂件
P2,机械坟场-剧毒沼泽,Defense,方阵兵 (Phalanx Unit),DF-06 Phalanx Linker,Uncommon,手持能量盾；两只一组出现,结对行动；中间生成激光墙阻挡去路；触碰激光墙会被击退,【阵型破坏】限制玩家的移动空间；分割战场；制造死路,爆炸破盾；绕大圈攻击侧面,基础骨骼C + 能量盾特效
P2,机械坟场-剧毒沼泽,Specialist,磁力钩锁 (Magnet Hook),CC-02 Hookshot,Rare,巨大的磁铁手臂；线圈缠绕,将远处的玩家强行拉到身前；造成晕眩；配合自爆怪,【强制位移】破坏玩家的节奏；配合自爆怪形成必杀Combo,保持距离；冲刺抵消拉力,基础骨骼C + 磁铁挂件
P2,机械坟场-剧毒沼泽,Specialist,干扰水晶 (Jammer Pylon),SP-02 Buffer Totem,Rare,漂浮的紫色水晶塔；周围空气扭曲,发出持续噪声；使范围内玩家无法使用主动技能/光帆过载,【技能封印】针对技能流/大招流；迫使玩家依赖平射基本功,第一时间拆塔；远程点掉,场景组件 (水晶塔)
P2,机械坟场-剧毒沼泽,Specialist,隐形猎手 (Ghost Stalker),MB-02 Ghost Stalker,Rare,半透明光学迷彩；只有攻击瞬间显形,隐身接近；攻击现形；背刺必暴击；移动无声,【观察检测】P2的环境更暗；教导听声辨位；防范背后,AOE炸出来；背靠墙壁战斗,基础骨骼D (刺客类)
P2,机械坟场-剧毒沼泽,Hazard,感应地雷 (Proximity Mine),HZ-04 Proximity Mine,Uncommon,埋在土里；只有红灯闪烁；滴滴声,感应到玩家或怪物后跳起爆炸；延时1秒,【环境利用】既是陷阱也是武器；可以引诱怪物踩雷炸死它们,仔细看路；风筝引怪,场景组件
P2,机械坟场-剧毒沼泽,Gimmick,反应装甲兵 (Reactive Guard),DF-05 Reactive Armor,Rare,浑身插满爆炸刺；红灯闪烁,每次受到攻击反弹一枚导弹；攻速越快死得越快；内置CD 0.2秒,【射速惩罚】针对加特林/冲锋枪流派；教导“点射”的重要性,单发高伤武器 (狙击/火炮),基础骨骼C + 刺猬甲
P2,机械坟场-剧毒沼泽,Elite,电磁处刑者 (Electrocutioner),EL-03 Assassin Squad,Rare (Elite),双持电棍；带瞬移残影,瞬移到玩家背后进行连击；附带沉默效果；高攻速,【反应力考题】高强度的近战压迫；不给喘息机会；类似格斗游戏,精准闪避 (擦弹)；控制打断,独立模型 (P2副Boss复用)
P2,机械坟场-剧毒沼泽,Boss,焚化炉 (The Incinerator),Act Boss,Unique,巨大的垃圾处理炉机器人；胸口是燃烧室,火焰喷射；全屏高温（持续掉血）；召唤废料雨；吞噬垃圾回血,【软狂暴机制】全屏高温迫使玩家必须速战速决；不能磨叽,高爆发输出；寻找冷却点,独立高精模型
P2,机械坟场-剧毒沼泽,Boss,游荡者 (The Roamer),Mini-Boss,Unique,披着破布的神秘机甲；像是拾荒者,使用狙击枪；超远距离风筝玩家；会逃跑并回血,【反向风筝】它会跑；玩家要追；反传统的Boss战体验,利用光帆追击；堵截路线,独立模型 (人形)
P3,翠绿噩梦-变异丛林,Minion,分裂孢子 (Spore Slime),CF-03 Slime Splitter,Common,半透明绿色胶状体；体内有发光核心,死亡时分裂成2-4个小个体；小个体速度极快但血量低；无视碰撞体积,【AOE检测器】惩罚单点高伤武器（如狙击/左轮）；制造“清不完”的焦虑感,使用散弹；波纹；爆炸类武器,基础骨骼D (软体类)
P3,翠绿噩梦-变异丛林,Minion,毒爆花 (Bloom Boomer),CF-02 Suicide Boomer,Common,鲜艳的红色花苞；肿胀脉动；滴落粘液,接近玩家后自爆；留下持续8秒的剧毒区域；死亡时也会爆出一圈毒刺,【区域封锁】配合地形限制玩家走位；迫使玩家不断转移阵地,在远处点爆；击退技能,基础骨骼D + 粒子特效
P3,翠绿噩梦-变异丛林,Ranged,迫击炮草 (Mortar Plant),RZ-04 Mortar Lobber,Uncommon,巨大的捕蝇草形态；背部有类似火炮的管状物,抛射毒液弹；造成大范围地面伤害；弹道极高；无视掩体,【反掩体机制】克制喜欢躲在墙角的玩家；逼迫玩家进行长距离机动,保持移动；突脸近战,基础骨骼E (植物类)
P3,翠绿噩梦-变异丛林,Hazard,拟态藤蔓 (Mimic Vine),HZ-01 Mimic Chest,Rare,平时伪装成普通的灌木;血包或宝箱,玩家交互或靠近时突然攻击;造成巨额击退和流血效果,[观察力检测]增加探索时的心理压力;让玩家不再信任环境,仔细观察是否有呼吸动画;开枪试探,场景组件 (植物)
P3,翠绿噩梦-变异丛林,Specialist,粘液投掷者 (Glue Spitter),CC-01 Trapper,Uncommon,类似变色龙；舌头很长；体色随环境微调,预判玩家走位投掷减速网；被击中无法冲刺；舌头攻击带定身,【机动性剥夺】被减速后极易被自爆怪秒杀；配合毒爆花形成必杀Combo,优先击杀；保持不规则走位,基础骨骼A (爬行类) + 舌头挂件
P3,翠绿噩梦-变异丛林,Specialist,寄生增殖者 (Growth Parasite),GM-05 Growth Parasite,Rare,背着囊泡的巨大昆虫；口器锋利,优先吃掉地上的尸体；每吃一个体型变大20%；攻速移速翻倍；吃够5个变精英,【时间压力】DPS检测器；惩罚“磨血”战术；如果不优先处理会变成Boss级怪物,集火秒杀；控制打断进食,基础骨骼A + 囊泡挂件
P3,翠绿噩梦-变异丛林,Elite,树精守卫 (Treant Guardian),SP-04 Summoner,Rare (Elite),枯木组成的巨人；核心发光；身上挂着尸体,周期性召唤分裂孢子；本身血量极高；拥有木质护甲（减伤实弹）,【怪海战术核心】如果不杀它怪永远清不完；强制玩家进行“斩首行动”,穿透武器；火焰属性武器,独立模型 (P3副Boss复用)
P3,翠绿噩梦-变异丛林,Boss,腐化盖亚 (Corrupted Gaia),Act Boss,Unique,与巨树融合的女性形象；无数触手连接地面,全屏弹幕；召唤树人；触手拍打；全场毒雾,【弹幕地狱】P3的高潮；主要考验微操走位和AOE清杂能力；寻找安全点,寻找弹幕缝隙；高频武器削韧,独立高精模型
P3,翠绿噩梦-变异丛林,Boss,沼泽领主 (Swamp Lord),Mini-Boss,Unique,巨大的淤泥怪物；不定形,潜行；潜入地下移动；突然钻出吞噬玩家；全屏毒雾,【环境利用】强迫玩家在有限的安全区内战斗；预判钻出位置,观察地面波纹；大招爆发,独立模型 (不定形)
P4,深海之眼-幽暗水下,Minion,相位鳗鱼 (Phase Eel),MB-06 Phase Shifter,Unique,细长条状；带电发光；半透明,周期性在“实体”和“虚空”状态切换；虚空状态无敌且穿墙；电击带有麻痹效果,【爆发窗口检测】只能在它现身其实体化时输出；惩罚持续射击流派,抓住现身时机；单发高伤武器,基础骨骼F (蛇形/游动)
P4,深海之眼-幽暗水下,Ranged,反射水母 (Prism Jelly),DF-03 Reflector Prism,Common,透明伞状体；核心是多面棱镜,漂浮移动；反射所有激光/光束类攻击；若是实弹则减伤50%,【武器池深度检测】全游戏第一个硬性反制怪；激光流玩家必须切副武器（实弹/波纹）,切换实弹武器；近战波纹,基础骨骼F (复用软体类) + 棱镜核心
P4,深海之眼-幽暗水下,Specialist,深渊钩锁 (Abyssal Hook),CC-02 Hookshot,Uncommon,隐藏在暗处的触手怪；只有尖端发光,将远处的玩家强行拉到身前；造成短暂晕眩；通常部署在深渊边缘,【位移抵抗检测】破坏玩家的风筝节奏；制造地形杀（拉下悬崖）,冲刺抵消拉力；保持距离,场景组件 (触手)
P4,深海之眼-幽暗水下,Specialist,无面潜行者 (Faceless Stalker),MB-02 Ghost Stalker,Rare,完全透明；只有眼睛发光；周围有水波扭曲,隐身绕背攻击；攻击前一瞬间显形；背刺必暴击；脚步声极轻,【听声辨位检测】考验反应速度和背部防守；制造恐怖氛围,AOE炸出来；背靠墙壁,基础骨骼G (人形/刺客)
P4,深海之眼-幽暗水下,Specialist,灯笼鱼 (Lure Fish),HZ-05 Wall Grabber,Rare,头顶有诱捕灯；身体隐藏在墙壁里,平时看起来像掉落物/光点；玩家靠近后吞噬；造成巨额伤害,【贪婪检测】利用玩家想捡东西的心理；惩罚不观察环境的玩家,仔细分辨光点颜色；开枪试探,场景组件
P4,深海之眼-幽暗水下,Gimmick,双子鲨 (Gemini Shark),GM-04 Linked Twins,Rare (Elite),一红一蓝两只装甲鲨鱼；互相盘旋,必须在10秒内同时击杀；否则活着的会狂暴并复活另一个；共享痛觉,【控血能力检测】不能只盯着一只打；考验多目标输出能力,双目标输出；雨露均沾,基础骨骼F + 装甲
P4,深海之眼-幽暗水下,Elite,深海恐惧 (Deep Fear),EL-01 Juggernaut,Rare (Elite),巨大的老式潜水员机甲；手持鱼叉炮；探照灯,霸体；无视地形阻挡；发射超大判定的鱼叉；脚步沉重造成震颤,【压迫感来源】迫使玩家在狭窄空间内进行极限闪避；任何掩体都会被它撞碎,利用不可破坏的地形卡位；放风筝,独立模型 (P4副Boss复用)
P4,深海之眼-幽暗水下,Boss,利维坦 (Leviathan),Act Boss,Unique,超巨大的鲸鱼状生物；吞噬一切,在背景游动；突然冲撞；吸入玩家进入体内战斗；胃酸上涨,【场景互动体验】Boss本身就是关卡（体内/体外切换）；极其震撼的演出,攻击内部核心；躲避消化液,独立高精模型 (超巨大)
P4,深海之眼-幽暗水下,Boss,深潜者 (Deep Diver),Mini-Boss,Unique,灵活的人形生物；使用三叉戟；身法矫健,高速冲刺；水流冲击；召唤水分身；连击判定极强,【高机动性对决】考验玩家的跟枪能力和闪避节奏；类似格斗游戏,预判冲刺路径；弹反（如有）,独立模型 (人形)
P5,核心都市-霓虹夜雨,Minion,镇暴盾兵 (Riot Guard),DF-06 Phalanx Linker,Common,全身白色高科技护甲；手持能量盾,结阵推进；两两之间生成激光墙；不可正面突破；脚步整齐划一,【阵型破坏检测】限制玩家移动空间；分割战场；制造死角,爆炸破盾；绕大圈攻击侧面；穿透弹,基础骨骼C (人形/壮汉) + 能量盾特效
P5,核心都市-霓虹夜雨,Ranged,交叉火力无人机 (Crossfire Drone),RZ-10 Crossfire Drone,Common,球形浮游机；红蓝警灯闪烁,两架一组出现；拉开角度形成交叉火网；智能预判玩家掩体位置,【空间感检测】惩罚只关注一个方向的玩家；制造无处可躲的弹幕网,快速位移；优先击落一架打破夹角,基础骨骼B (浮游类) + 连线特效
P5,核心都市-霓虹夜雨,Specialist,信号干扰塔 (Signal Jammer),CC-04 Silencer,Uncommon,漂浮的黑色方尖碑；周围有噪点,屏蔽玩家小地图；使UI出现故障乱码；范围内禁止主动技能,【心理施压】剥夺信息获取能力；制造恐慌感；封印大招流,凭记忆背板；第一时间远程点掉,场景组件 (方尖碑)
P5,核心都市-霓虹夜雨,Specialist,战术指挥官 (Tactical Commander),SP-02 Buffer Totem,Rare,身披红披风的军官;手持指挥刀,不直接攻击;给全场怪物提供[狂暴](攻速移速+50%)和[吸血]光环,[击杀优先级检测]团战核心;如果不杀他;小怪强度会翻倍,越过前排肉盾;刺客流切后排,基础骨骼C + 光环特效
P5,核心都市-霓虹夜雨,Gimmick,棱镜行者 (Prism Walker),GM-01 Color Coded,Rare,全身晶体化；颜色不断切换（红/蓝/绿）,只免疫对应颜色的伤害；伤害极高；护盾破碎前霸体,【元素池深度检测】强制要求玩家携带多属性星核；惩罚单属性Build,切换对应元素武器；等待颜色切换,基础骨骼C + 变色Shader
P5,核心都市-霓虹夜雨,Elite,处刑官 (The Judge),EL-03 Assassin Squad,Rare (Elite),悬浮的机械法官;四条机械臂,瞬移;重力压制(减速);激光处决;拥有多条血条,[综合战术考题]P5的守门员;结合了控制;机动和高伤;不仅要躲还要解控,保持距离;预判瞬移落点,独立模型 (P5副Boss复用)
