方案C 40-48m,Z3 侧厅->红线廊,"C6. 进入危险频段",7,获取光帆并完成红线课程,"[机关] 高频红线惩罚清晰且无死角。","[光帆:相位]",【验证：节奏掌控】冲刺窗口与冷却管理。,"L-03 锁, 相位走廊"
方案C 48-56m,Z4. 深渊孵化室,"C7. 道德压力战",9,在高压战斗中做“杀穿/撤离”抉择,"[情境] 蜂群+环境坍塌叠加，时间压力极强。",[捷径开关与撤离路径],【验证：决策承压】不贪击杀也能稳定脱战。,"孵化室, L-07 电梯"
方案C 56-60m,Z3. 枢纽休整,"C8. 余震",2,通过低强度对话与UI结算收束第一章,"[心理] 高压后认知疲劳，信息吸收下降。",[阶段性目标重申],【验证：记忆锚定】明确下一目标与未解锁门。,"枢纽营火, 东侧封门提示"
,,,,,,,,
方案D 0-7m,Z1. 坠机冰原,"D1. 速攻教学",5,3分钟内完成移动+射击+回避最小闭环,"[时间] 明确计时导致紧张，失误易连锁。",[基础操作三连教学],【验证：操作完整性】连续通过两段陷阱。,"坠机点训练走廊, 锚点A"
方案D 7-15m,Z1->Z2. 冰裂峡谷,"D2. 追击推进",7,在追击压迫下清路并前压,"[敌群] 浮雷从后追，前方爬行者堵路。",[控场思路],【验证：前后威胁切换】不回头硬拆前线。,"单向滑坡, 峡谷中继点"
方案D 15-23m,Z2. 共振峡谷,"D3. 快速解锁",6,拿到涟漪后30秒内完成破墙,"[节奏] 若理解慢会打断速通感。","[星核:涟漪]",【验证：即时迁移】新能力立刻用于当前障碍。,"L-02 锁, 共振晶簇"
方案D 23-31m,Z2->Z3. 枢纽前庭,"D4. 小Boss门前战",8,击破门前混编小队并进枢纽,"[复合] 盾阵+地形卡位，错误站位受惩罚。",[穿透线索预埋],【验证：先控后打】先清浮雷再拆守卫。,"枢纽西门, 门前战斗圈"
方案D 31-39m,Z3. 枢纽主厅,"D5. 枢纽冲刺",6,最短路径激活两处门控,"[导航] 多路分叉干扰速攻目标。",[路径标记系统],【验证：路线规划】8分钟内完成双门控。,"主钟台, 东门控制台"
方案D 39-47m,Z3 侧厅,"D6. 相位考试",8,连续穿过三组红线并获取通行资格,"[机关] 失误即回点，连贯性压力大。","[光帆:相位]",【验证：连段操作】三段无伤穿线。,"相位考核廊, L-03 入口"
方案D 47-55m,Z4. 深渊上层,"D7. 战斗冲关",9,在倒计时坍塌前启动电梯捷径,"[时间+敌群] 坍塌计时叠加蜂群围堵。","[L-07 电梯捷径]",【验证：目标优先级】放弃不必要战斗直取开关。,"深渊机房, 回程电梯"
方案D 55-60m,Z3. 枢纽回归,"D8. 速攻复盘",3,恢复资源并解锁下一段速攻路线,"[资源] 血量与热量不足影响后续体验。",[首小时效率评估],【验证：复盘能力】根据耗时给出分支建议。,"枢纽营地, 路线提示台"
,,,,,,,,
方案E 0-8m,Z1. 坠机冰原,"E1. 安全起步（新手友好）",2,完成基础移动与交互并拿到第一批补给,"[认知] 新手对双摇杆不熟，操作负荷高。",[低压教学区],【验证：基础控制】无敌人环境完成两次导航点触发。,"坠机点, 教学浮标"
方案E 8-16m,Z1. 冰原通道,"E2. 温和首战",3,进行分批敌人教学并建立命中反馈,"[敌人] 若一次塞太多单位，新手易慌乱。",[分波次投放],【验证：命中确认】完成3次稳定击杀循环。,"碎晶巢穴, 医疗残骸"
方案E 16-24m,Z2. 共振峡谷,"E3. 明确谜题",4,在强引导下解开叹息之墙,"[机关] 不理解“共振”会卡关。","[星核:涟漪]",【验证：跟随引导】按UI步骤完成破墙。,"L-02 锁, 引导路标"
方案E 24-32m,Z2 支路,"E4. 可选挑战",5,选择一条可选支路获取额外资源,"[选择] 奖励与风险说明不清会导致挫败。",[可见奖励预览],【验证：主动选择】做出一次明确“打/不打”决策。,"支路补给箱, 观察台"
方案E 32-40m,Z3. 枢纽主厅,"E5. 中等强度战斗",6,学习处理盾怪并完成主路开门,"[敌人] 圣歌守卫正面免疫提高理解门槛。","[辅助:穿透]提示强化",【验证：机制对应】用正确手段处理正确敌人。,"主钟台, 东门锁台"
方案E 40-48m,Z3 侧厅,"E6. 相位入门",6,获取光帆并通过低密度红线课程,"[机关] 无敌帧概念抽象，不易掌握。","[光帆:相位]",【验证：基础相位】在宽容窗口穿过两组红线。,"侧厅训练廊, L-03 门前"
方案E 48-56m,Z4. 深渊入口,"E7. 首次高压战",7,面对混合兵团并启动回程电梯,"[复合] 前后威胁并存，易顾此失彼。","[L-07 捷径开关]",【验证：优先级判断】先保命再开捷径。,"深渊桥, 电梯机房"
方案E 56-60m,Z3. 枢纽休整,"E8. 新手收束",2,回到安全区并清晰告知下一目标,"[信息] 一小时后信息过载，需明确下一步。",[任务重述+地图标记],【验证：目标清晰度】玩家能在10秒内指出下一去向。,"枢纽营地, 下一门锁提示"
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
方案A 0-8m,Z1. 坠机冰原,方案A-P1 失声苏醒,3,恢复推进并离开坠机坑,[环境] 低温减速区与碎晶爬行者骚扰,[基础移动],【验证：机动】边退边打清雷区,坠机维修台A1
方案A 8-15m,Z1->Z2 断层边缘,方案A-P2 噪音即威胁,5,学习持续火力压制护盾怪,[敌人] 碎晶爬行者再生盾在停火后瞬回,开局星核基础射击思路更新,按住射击连续破盾并管理热量,冰川断层跳下点A2
方案A 15-23m,Z2. 峡谷入口,方案A-P3 墙会呼吸,6,识别叹息之墙并找到同频解法,[机关] 正面攻击无效且走廊有静滞浮雷,环境提示 共振水晶,[星核：涟漪] 预告,叹息墙前训练场A3
方案A 23-30m,Z2. 守门战厅,方案A-P4 第一次夺回声音,7,击败守门怪并获取涟漪,[战斗] 盾压怪+浮雷双线压迫,获得[星核：涟漪],用涟漪一枪开墙形成短回路,涟漪祭坛A4
方案A 30-38m,Z2->Z3 枢纽门厅,方案A-P5 结构展开,4,抵达枢纽并点亮首个检查点,[导航] 三向分叉造成路径焦虑,解锁小地图首层与休整点,识别主线门与两条支线差异,枢纽钟盘A5
方案A 38-46m,Z3. 侧厅与地下裂缝,方案A-P6 知识锁提示,5,完成一次软锁秘密并建立回溯心智,[秘密] 地板无交互提示容易错过,声波探路习惯与轻资源奖励,用涟漪显形隐藏路并拿补给,地下裂缝秘室A6
方案A 46-53m,Z3. 东侧红线廊道,方案A-P7 相位试炼前奏,7,在高频红线前完成安全区读秒通过,[灾害] 红线周期快且失误弹回,获得[光帆：相位],冲刺无敌帧穿线三连成功,红线阀门A7
方案A 53-60m,Z3->Z4 深渊入口,方案A-P8 不可回头,8,滑入深渊并完成首场撤离战,[承诺] 单向滑坡+蜂群追击,开启Z4入口并预埋返程捷径线索,保持移动同时清后排避免被包围,滑坡闸门与远望电梯A8
方案B 0-8m,Z1. 坠机冰原,方案B-P1 冷启动探索,2,低压熟悉镜头与移动手感,[地形] 冰面惯性与窄桥坠落风险,[基础移动],低张力平台跳跃通过连续三坑,破舱观景点B1
方案B 8-16m,Z1. 外环可选岔路,方案B-P2 第一份好奇心奖励,3,引导玩家先拿到一处可见不可达宝箱线索,[路径] 正路与可疑支路并存,收集提示物 地图涂鸦与残碑,记住回溯点而非强行获取,高台宝箱眺望点B2
方案B 16-24m,Z2. 峡谷回音段,方案B-P3 听觉解谜教学,5,通过声波触发机关连续开两门,[机关] 叹息墙+隐形回音路组合,获得[星核：涟漪],声波探路后3秒内完成冲刺过桥,回音桥桩B3
方案B 24-31m,Z2. 守门战厅,方案B-P4 短促高峰,7,完成一次中强度精英战,[敌人] 圣歌守卫顶盾推进压空间,获取涟漪并掉落补给模组,绕侧+声波破防完成击杀,守门钟龛B4
方案B 31-39m,Z3. 枢纽中庭,方案B-P5 节奏回落与叙事,4,在安全区接收N-05背景叙事,[信息] 分支过多导致决策迟疑,获得清晰路标 主线东侧危险提示,玩家能主动选择一条支线再回中庭,枢纽中央长椅B5
方案B 39-47m,Z3. 地下秘密链,方案B-P6 知识锁正反馈,5,完成一条两段式秘密链,[解谜] 需观察微光地板并声波验证,获得资源包与Lore碑文N-06,无战斗状态下也能完成探索闭环,裂缝墓穴B6
方案B 47-54m,Z3. 相位侧厅,方案B-P7 能力跃迁,6,以轻战斗获取[光帆：相位],[战斗] 红线+浮雷混合迫使节奏切换,获得[光帆：相位],以相位穿越红线并零受伤离场,相位装置B7
方案B 54-60m,Z3->Z4 入口回环,方案B-P8 以捷径收束首小时,6,开通Z4前置门并看到未来捷径开关,[拓扑] 新能力让旧路可重访但时间有限,点亮通往Z4的单向门并标记返程路,完成一次小回溯拿到早期宝箱,深渊前厅与电梯远景B8
方案C 0-7m,Z1. 坠机冰原,方案C-P1 即刻求生,5,在资源紧缺下清理首波混合兵团,[战斗] 浮雷追击+爬行者压前线,学会热量阈值与掩体换弹节奏,不超热击杀全部敌人并保留半血以上,坠机防线C1
方案C 7-15m,Z1. 冰缝通道,方案C-P2 追击压迫,6,边移动边战斗穿过长通道,[关卡] 狭窄地形使走位错误成本高,强化边退边打与优先级击杀,先清浮雷后清近战群,冰缝补给箱C2
方案C 15-23m,Z2. 叹息墙外环,方案C-P3 火力转译,6,在战斗中学习机关解法,[复合] 战斗中需抽空击打共振点,获得[星核：涟漪],在30秒压力波次里开门成功,共振柱环C3
方案C 23-30m,Z2. 守门战厅,方案C-P4 小Boss节拍,8,击败守门组合并拿核心能力,[敌人] 圣歌守卫+蜂群扇形包抄,获得[星核：涟漪],声波显形后优先破阵完成反打,守门祭坛C4
方案C 30-38m,Z3. 枢纽战备区,方案C-P5 短休整后再上压,5,补给与改装后立即进入下一战,[资源] 选择错误会导致后续容错低,获得一次星图调整机会,依据即将到来的红线战配置部件,战备终端C5
方案C 38-46m,Z3. 红线试炼廊,方案C-P6 高压机动考,8,在持续扫描中穿线并反击远程怪,[环境杀] 触线即重置并被追兵夹击,获得[光帆：相位],三段冲刺穿线+反身清怪,红线阀门C6
方案C 46-53m,Z3->Z4 滑降段,方案C-P7 失控下坠战,9,在单向下坠中处理多方向来敌,[结构] 无回头路且镜头压迫感强,建立危机时优先活命而非全清,保持移动并活着抵达底平台,深渊滑降井C7
方案C 53-60m,Z4. 深渊前厅,方案C-P8 逃出生天,7,启动临时电梯并守住撤离点,[据点战] 蜂群分三波从四角进场,开通返程捷径伏笔 L-07,在限定时间守点成功后离场,锈蚀电梯控制台C8
方案D 0-8m,Z1. 坠机冰原,方案D-P1 静默叙事开场,2,通过环境叙事建立示巴星基调,[氛围] 几乎无音乐易造成无聊风险,触发N-01通讯并给出明确前进目标,玩家可复述当前任务与风险,坠机黑匣子D1
方案D 8-15m,Z1. 风蚀遗迹边,方案D-P2 第一次开火的罪感,4,让玩家在最少敌人中理解开火代价,[叙事战斗] 枪声触发环境变色与怪物苏醒,触发N-02并建立噪音规则,玩家主动选择压枪或潜行绕行,风蚀石阵D2
方案D 15-23m,Z2. 叹息墙前厅,方案D-P3 说话而非击碎,5,用解谜替代纯战斗推进,[机关] 叹息墙物理免疫造成挫败,获得[星核：涟漪],利用同频机制开门并触发N-03,N-03共振墙D3
方案D 23-31m,Z2. 涟漪祭坛,方案D-P4 能力即语言,6,通过仪式化获取强化世界观,[流程] 获取后若无即时应用会失焦,获得[星核：涟漪]并立刻开第二堵墙,5秒内完成拿取到首次实战,N-04祭坛D4
方案D 31-39m,Z3. 枢纽中庭,方案D-P5 文明遗骸,4,以观景与对话承接上一高点,[叙事] 信息量过大可能拖节奏,触发N-05并开放可选Lore点,玩家完成一次主动调查并返回主线,管风琴山脉观景台D5
方案D 39-47m,Z3. 地下墓穴,方案D-P6 恐惧安静,5,在低敌压下完成一次恐怖感探索,[体验] 光照低+音效稀薄增加迷路概率,获得N-06碑文与补给,声波探路定位出口并无死亡离开,隐藏墓穴D6
方案D 47-54m,Z3. 相位侧厅,方案D-P7 从理解到执行,7,通过一场中强度战斗夺得相位能力,[战斗] 红线与守卫形成双重时机压迫,获得[光帆：相位],无敌帧穿线并反打守卫,相位侧厅D7
方案D 54-60m,Z3->Z4 深渊门,方案D-P8 戏剧性下潜,8,以单向滑入完成首小时戏剧收束,[结构] 不可回头引发心理压力,触发N-07开场并预告深渊主题,在撤离中保持队形与资源余量,深渊门闸D8
方案E 0-8m,Z1. 坠机冰原,方案E-P1 机动先行,4,连续平台动作教学并弱战斗点缀,[地形] 冰面惯性+断桥连跳,开局机动教程强化,连续完成冲刺+跳跃+折返三组动作,断桥训练环E1
方案E 8-16m,Z1. 追风走廊,方案E-P2 速度就是安全,5,在计时压力下穿越崩塌廊道,[追击] 落石与浮雷逼迫不停移动,获得加速补给与路线记忆,90秒内到达终点且不中断移动,追风计时门E2
方案E 16-24m,Z2. 回音栈桥,方案E-P3 跑酷解谜混合,6,边跑边用声波显形平台,[机关] 隐形回音路仅显形3秒,获得[星核：涟漪],连续三次显形成功不中断节奏,回音栈桥E3
方案E 24-31m,Z2. 守门短战,方案E-P4 短平快战斗,7,以高机动打穿短时波次,[敌人] 盾怪顶线限制移动半径,获得[星核：涟漪]并立刻开门,20秒内破盾并处决守门怪,守门鼓室E4
方案E 31-39m,Z3. 枢纽机动环,方案E-P5 技能冷却管理,5,在非战斗中练习冲刺节奏与路径规划,[系统] 误用冲刺导致容错骤降,获得一次冷却缩短临时增益,无战斗完成三环跑图并回中庭,枢纽风道E5
方案E 39-46m,Z3. 红线走廊,方案E-P6 相位毕业考,8,在高速状态下穿越多段红线阵,[环境] 红线节拍不同步容易误判,获得[光帆：相位],三段异步红线一次通过,红线阀门E6
方案E 46-54m,Z3->Z4 滑降通道,方案E-P7 高速追逃,8,在下坡滑降中执行回头清怪动作,[战斗] 后方蜂群追击与前方落点陷阱,形成高速战斗手感闭环,保持前进并完成两次180度反打,深渊滑道E7
方案E 54-60m,Z4. 前厅试炼,方案E-P8 首小时冲刺收官,7,激活前厅装置后完成计时生存,[机制] 场地缩圈+四角刷怪,点亮Z4首检查点并留返程钩子,在60秒内存活且保持机动输出,深渊前厅钟环E8
