"8:00-13:00
(300s)","Z1c -> Z2入口
(Choke Point)","P1-A. 破冰
(Breakthrough)",6,"突破叹息墙封锁
进入安全区","[机关] 叹息之墙。物理免疫，完全挡路。攻击泛蓝色涟漪。
[追兵] 后方有最后一波碎晶爬行者+2只静滞浮雷逼近。
[限时] 墙前有一个30s的'最终窗口'——追兵到达前必须破墙。","[星核：涟漪]
(声波弹)
击败墙前的精英爬行者(金色)掉落","【验证：环境解谜 + 压力决策】
1. 拾取涟漪后，星图UI二次弹出 → 教学武器切换
2. 射击墙壁旁边的共振水晶（发光提示）→ 连锁震碎
3. 追兵倒计时UI显示 → 必须在追兵到达前完成破墙
4. 破墙后立刻进入安全屋 → 追兵被阻挡在外","[锚点B] 安全屋入口（首个存档点）。
[硬锁] 叹息墙（涟漪破解）。
[教学] 武器切换+环境互动。
[叙事] 守夜人解释共振原理。
[节奏] 进入安全屋后BGM骤停 → 只有风声 → 呼吸空间。"
"13:00-18:00
(300s)","Z2a. 叹息峡谷
(Linear -> Hub)","P1-A. 喘息
(Respite)",3,"探索安全区域
熟悉武器","[环境] 峡谷两侧是美丽的冰晶管风琴建筑群。
[轻度威胁] 2只静滞浮雷缓慢游荡（可清理或绕过）。
[引导] 远处有光柱指向Z3回音枢纽入口。","[无新获取]
(巩固已有能力)","【验证：武器熟练度】
1. 浮雷清理教学 → 精确射击 vs 游击
2. 探索冰晶建筑 → 发现隐藏的录音日志
3. 峡谷风景 → 视觉放松（张弛有度）","[POI] 冰晶管风琴建筑群（拍照点/氛围）。
[收集] 散落的补给箱x3（鼓励探索）。
[叙事] N-05触发：伊恩看到管风琴山脉的感叹。
[节奏] 纯体验段，无战斗压力。"
"18:00-25:00
(420s)","Z2b. 峡谷深处
(Choke Point -> Open)","P1-A. 集结
(Convergence)",5,"前往回音枢纽
首次遭遇圣歌守卫","[敌人] 圣歌守卫x1（盾牌鸣钟者）。正面物理免疫，还会发射穿透波。
[地形] 峡谷出口是开阔平台，左侧有掩体，右侧有高地。
[首次精英] 第一次遭遇精英敌人。","[战斗复习]
(实弹+声波组合)","【验证：战术思考】
1. 圣歌守卫正面无敌 → 教学声波的穿墙特性
2. 躲在左侧掩体后射击 → 穿墙击杀
3. 或绕到右侧高地 → 背后攻击
4. 击杀后解锁通往Z3的路径","[首次精英] 圣歌守卫（战术教学）。
[出口] 峡谷平台尽头（通往Z3）。
[叙事] N-03触发：守夜人解释物理免疫。
[成长感] 首次独立击败精英敌人。"
"25:00-35:00
(600s)","Z3a. 回音枢纽外围
(Hub Entrance)","P1-A. 预高潮
(Pre-Climax)",7,"进入回音枢纽
面对第一道红线阵","[机制] 高频红线阵。周期性扫描的激光网，无死角。
[机关] 必须掌握光帆相位冲刺才能通过。
[限时] 红线阵每60秒全覆盖一次。","[光帆：相位]
(无敌冲刺)
在红线阵前
击败幽灵共鸣者掉落","【验证：无敌帧+新能力】
1. 第一次接触红线 → 被弹回（学习成本）
2. 观察红线规律 → 等待窗口期
3. 拾取光帆 → 教学冲刺无敌帧
4. 成功穿越 → 进入Z3核心区","[新能力获取] 光帆相位（核心移动能力）。
[挑战] 红线阵（光帆教学）。
[POI] 回音枢纽入口信标。
[叙事] N-08触发：守夜人解释相位引擎。
[进入下一区域] Z3核心区（钟楼之巅前奏）。"
"35:00-45:00
(600s)","Z3b. 回音枢纽核心
(Hub -> Arena)","P1-A. 终局之门
(Gatekeeper)",9,"激活中央电梯
击败守门精英","[BOSS前战] 混合兵种：圣歌守卫x2 + 水晶蜂群x1群。
[机制] 蜂群需要声波AOE或快速清理。
[高密度] 敌人数量压制。","[综合复习]
(实弹+声波+光帆)","【验证：综合能力】
1. 圣歌守卫 → 声波穿墙
2. 水晶蜂群 → 快速清理（射速要求）
3. 光帆冲刺 → 战场机动
4. 中央电梯激活 → 开启通往钟楼顶的通道","[锚点C] 核心基地（电梯入口）。
[硬仗] 混合兵种战斗。
[节奏] 45分钟处是第一场硬仗胜利 → 高潮点。
[结局] 电梯上升 → 俯瞰整个示巴星（视觉高潮）。"
"45:00-60:00
(900s)","Z6. 钟楼之巅
(Arena)","P1-A. 终焉前传
(Prologue)",6,"面对哭泣钟楼
了解BOSS机制","[BOSS引入] 哭泣的钟楼（最终BOSS预览）。
[机制展示] BOSS展示3种攻击模式的前两种。
[剧情] 与BOSS进行'对话'（声波互动），了解星球悲剧。","[剧情体验]
(非战斗)","【验证：观察+理解】
1. 观察BOSS攻击模式 → 为最终战做准备
2. 与BOSS声波'对话' → 播放历史画面
3. 了解大静默真相 → 情感连接
4. 第一幕结局 → 电梯返回地面，'未完待续'","[BOSS预览] 哭泣的钟楼（3种机制展示2种）。
[剧情] N-11触发：BOSS身世揭示。
[结局] 电梯下降 → 第一幕结束。
[悬念] '真正的战斗还在后面' → 期待感拉满。"
方案一心流曲线：,8→7→6→3→5→7→9→6,,,,,,,
"方案一·心流曲线图示：",,,,,,,,
" 0:00  ████████░░ 8/10  (爆炸逃跑·纯机动)",,,,,,,,
" 3:00  ███████░░░ 7/10  (追击战·边退边打)",,,,,,,,
" 8:00  ██████░░░░ 6/10  (解谜+战斗·压力倒计时)",,,,,,,,
"13:00  ███░░░░░░░ 3/10  (安全区·喘息·探索)",,,,,,,,
"18:00  █████░░░░░ 5/10  (首次精英·战术学习)",,,,,,,,
"25:00  ███████░░░ 7/10  (红线阵·新能力教学)",,,,,,,,
"35:00  █████████░ 9/10  (混合兵种·综合战斗)",,,,,,,,
"45:00  ██████░░░░ 6/10  (BOSS预览·剧情收尾)",,,,,,,,
"方案一特点：开场即巅峰→下降→再上升→收尾。W型曲线，张力波动大，肾上腺素充足。",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"【方案二：探索发现型 — Quiet Discovery】",,,,,,,,
"设计理念：低张力开场，让玩家在安全环境中建立好奇心，通过探索和发现自然引出战斗。适合银河恶魔城爱好者。",,,,,,,,
"参考游戏：《Hollow Knight》遗忘十字路开场 + 《Ori》宁静森林探索段",,,,,,,,
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
"0:00-5:00
(300s)","Z1a. 坠机冰原
(Open Area)","P1-B. 寂静
(Silence)",2,"熟悉环境
自由探索","[无威胁] 开放式冰原，完全没有敌人。只有风声和偶尔的冰裂声。
[引导] 远处有3个微弱的光点（共振点），以及一个明亮的信标光柱指示主路。
[环境叙事] 散落的坠机残骸中有可互动的数据终端。","[基础移动]
(冲刺/跳跃/二段跳)
开局自带","【验证：自由移动 + 探索习惯养成】
1. 无压力地练习移动 → 发现冲刺可以滑过冰面（手感建立）
2. 二段跳可以到达更高的平台 → 奖励收集品
3. 数据终端互动 → 了解示巴星背景（大静默事件）
4. 光点提供方向暗示但不强制","[锚点A] 坠机点（可随时返回修理台）。
[收集] 散落补给箱x5（在不同高度/位置鼓励探索）。
[叙事] N-01触发但语气平静：伊恩惊叹于寂静之美。
[秘密] 冰洞中的录音日志（鸣钟者遗言）。
[氛围] BGM极简——只有环境音。"
"5:00-10:00
(300s)","Z1b. 共振冰谷
(Discovery Zone)","P1-B. 回声
(Echo)",4,"调查异常信号
获取第一把武器","[解谜] 需要激活3个共振点才能打开星图补给仓。
每个共振点有独特的音效提示（高/中/低频），引导玩家用听觉定位。
[环境] 共振点藏在冰柱后方、冰洞深处、悬崖边缘——鼓励地形探索。
[微威胁] 静滞浮雷x2漂浮在共振点附近（可躲避，无需战斗）。","[星核：涟漪]
(声波弹)
激活3个共振点后，
星图仓开启","【验证：探索+听觉解谜 + 工具思维】
1. 共振点A(冰柱后)：需要绕路，教学地图读图能力
2. 共振点B(冰洞深处)：教学暗环境探索（声音提示>视觉提示）
3. 共振点C(悬崖边)：教学精准跳跃，有坠落风险但不致死
4. 获取涟漪后 → 射击产生涟漪可视化效果 → '回声定位'概念自然引入","[POI] 共振点Ax3（不同方位）。
[武器获取] 星图补给仓（解谜奖励感）。
[教学] 声波=探测工具，不仅是武器。
[叙事] 守夜人解释：'它们的语言就是振动本身'。
[风险/回报] 浮雷可选择清理或绕过。"
"10:00-15:00
(300s)","Z1c. 冰晶花园
(Narrative Zone)","P1-B. 初遇
(First Contact)",5,"与原住民互动
获得棱镜（可选路线）","[NPC] 静止的鸣钟者幼体。不会主动攻击，呈休眠状态。
身体半透明，头部是铃铛形状，靠近时会发出微弱的嗡鸣。
[选择分歧] 玩家可以：A.用武器攻击 → 幼体惊醒并呼唤同伴(敌对化) B.用涟漪'对话' → 幼体响应并引路
[首战] 花园深处有2只碎晶爬行者巡逻（不可避免的战斗教学）。","[棱镜：温柔]
(安抚/解析)
安抚幼体后获赠
或
击败敌对幼体+爬行者后
从残骸中拾取","【验证：非暴力思维 + 首次战斗】
1. 幼体遭遇 → 游戏不给任何UI提示 → 玩家自主决定
2. 安抚路线：用涟漪对着幼体射击 → 它'唱歌'回应 → 引领至隐藏宝箱
3. 敌对路线：攻击后3只幼体围攻 → 难度较高但可击败
4. 花园深处的爬行者 → 正式战斗教学（热量管理）
5. 两条路线最终汇合于Z2入口","[支线] 安抚=隐藏宝箱+棱镜。敌对=战斗奖励+棱镜(品质低)。
[叙事] 点题：'不是所有敌人都需要消灭'。
[锚点B] 冰晶花园尽头（通往Z2的自然过渡）。
[秘密] 安抚3只以上幼体 → 组成队列 → 解锁隐藏区域。
[风险] 敌对选择会导致后续Z2敌人密度+20%。"
"15:00-20:00
(300s)","Z2a. 叹息峡谷入口
(Linear)","P1-B. 屏障
(Barrier)",4,"突破叹息墙
进入峡谷","[机关] 叹息之墙。物理免疫，完全挡路。
[引导] 墙边有发光提示（共振水晶）。
[无追兵] 安静环境，可从容解谜。","[星核：涟漪]
(已拥有)
涟漪+共振水晶破解","【验证：环境解谜巩固】
1. 射击共振水晶 → 墙壁震碎
2. 教学环境互动的重要性
3. 进入峡谷后自由探索","[硬锁] 叹息墙（涟漪破解）。
[教学] 巩固涟漪使用。
[叙事] N-03触发：守夜人解释叹息墙成因。
[节奏] 解谜后进入开放式峡谷。"
"20:00-28:00
(480s)","Z2b. 叹息峡谷
(Open -> Hub)","P1-B. 音乐厅
(Concert Hall)",3,"探索峡谷
发现隐藏区域","[环境] 峡谷两侧是巨大的冰晶管风琴建筑群。
[轻度威胁] 圣歌守卫x1在远处巡逻，可被发现或忽略。
[隐藏] 声波探测可发现隐形回音路（隐藏路径）。","[辅助：穿透]
(声波自带特性)
知识锁：
能力开局就有
缺的是发现","【验证：观察+知识应用】
1. 峡谷探索 → 欣赏风景（放松）
2. 声波射击冰面 → 发现隐形回音路
3. 隐形回音路通往隐藏墓穴 → 获得稀有道具
4. 远距离观察圣歌守卫 → 为后续战斗做准备","[隐藏] 隐形回音路（需声波探测）。
[POI] 冰晶管风琴建筑群（拍照点）。
[收集] 隐藏墓穴中的录音日志（完整Lore）。
[叙事] N-06触发：发现环境尸体的碑文。
[节奏] 纯探索段，无强制战斗。"
"28:00-35:00
(420s)","Z2c. 峡谷尽
(Choke Point)","P1-B. 对峙
(Confrontation)",6,"击败圣歌守卫
进入回音枢纽","[敌人] 圣歌守卫x1。正面物理免疫，还会发射穿透波。
[地形] 峡谷出口是狭窄通道，无法绕背。
[强制战斗] 必须击败才能继续前进。","[战术复习]
(声波穿墙)","【验证：声波特性应用】
1. 守卫正面无敌 → 必须使用声波穿墙特性
2. 声波绕过盾牌 → 背后攻击
3. 或利用地形高低差 → 侧翼攻击
4. 击杀后解锁Z3入口","[首次强制精英战] 圣歌守卫。
[出口] 峡谷出口（通往Z3）。
[叙事] N-03触发：物理免疫解释。
[成长感] 学会声波的真正价值。"
"35:00-45:00
(600s)","Z3a. 回音枢纽外围
(Hub Entrance)","P1-B. 进城
(The Hub)",4,"探索回音枢纽
熟悉中央区域","[环境] 宏伟的中央遗迹，类似倒置的管风琴。
[轻度威胁] 静滞浮雷x3在中央区域游荡。
[引导] 多个光柱指向不同区域。","[无新获取]
(探索熟悉)","【验证：机动+探索】
1. 中央枢纽探索 → 熟悉区域布局
2. 浮雷清理 → 练习移动射击
3. 发现通往Z4的深渊电梯（暂不可用）
4. 发现通往Z6的电梯（暂不可用）","[POI] 中央枢纽（多路径选择）。
[收集] 散落的补给箱x5。
[隐藏] 地下裂缝入口（需声波探测）。
[叙事] N-05触发：伊恩感叹枢纽宏伟。
[节奏] 开放式探索，无时间压力。"
"45:00-55:00
(600s)","Z3b. 枢纽地下
(Secret Zone)","P1-B. 深渊
(The Depths)",7,"探索地下裂缝
首次遭遇红线阵","[机制] 高频红线阵。周期性扫描的激光网。
[机关] 必须掌握光帆相位冲刺才能深入。
[敌人] 幽灵共鸣者x2（光学隐形，只有声波能看见）。","[光帆：相位]
(无敌冲刺)
在深渊尽头
击败幽灵共鸣者掉落","【验证：声波探路 + 无敌帧】
1. 幽灵共鸣者不可见 → 声波探测显形
2. 红线阵阻挡 → 观察规律
3. 拾取光帆 → 冲刺无敌帧穿越
4. 深入地下 → 发现通往Z4的路径","[新能力] 光帆相位（核心移动能力）。
[挑战] 幽灵共鸣者+红线阵组合。
[隐藏] 地下裂缝（完整Lore+稀有奖励）。
[节奏] 从开放到压缩 → 紧张感上升。"
"55:00-60:00
(300s)","Z4入口. 孵化深渊边缘
(Dungeon Entrance)","P1-B. 抉择
(Choice)",5,"选择是否深入
或返回枢纽","[分支] A.深入Z4深渊（高难度挑战）B.返回Z3（准备充分后再来）
[环境] 深渊入口有明显的警示标识。
[选择] 完全由玩家决定。","[视情况获取]
(深入则获取更多)","【验证：自我评估】
1. 玩家根据自身水平选择
2. 选择深入 → 面对更高难度
3. 选择返回 → 第一幕结束
4. 无论哪种选择都获得成就感","[分支点] 深渊入口（自我选择难度）。
[结局] 返回/深入 → 第一幕结束。
[叙事] '真正的挑战还在下面。'
[悬念] 深渊之下有什么？"
方案二心流曲线：,2→4→5→4→3→6→4→7→5,,,,,,,
"方案二·心流曲线图示：",,,,,,,,
" 0:00  ██░░░░░░░░ 2/10  (自由探索·零威胁)",,,,,,,,
" 5:00  ████░░░░░░ 4/10  (听觉解谜·微威胁)",,,,,,,,
"10:00  █████░░░░░ 5/10  (NPC互动·道德选择)",,,,,,,,
"15:00  ████░░░░░░ 4/10  (叹息墙解谜)",,,,,,,,
"20:00  ███░░░░░░░ 3/10  (峡谷探索·隐藏发现)",,,,,,,,
"28:00  ██████░░░░ 6/10  (首次精英战)",,,,,,,,
"35:00  ████░░░░░░ 4/10  (枢纽探索)",,,,,,,,
"45:00  ███████░░░ 7/10  (地下裂缝·新能力)",,,,,,,,
"55:00  █████░░░░░ 5/10  (分支选择)",,,,,,,,
"方案二特点：渐进式升温，低开高走。选择自由度大，探索驱动力强。适合喜欢发现的玩家。",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"【方案三：叙事沉浸型 — Echoes of Silence】",,,,,,,,
"设计理念：以叙事和氛围为核心驱动力，将武器获取与世界观揭示深度绑定。射击是'与世界对话'的方式。",,,,,,,,
"参考游戏：《Journey》开场沙漠段 + 《Inside》无言叙事 + 《Hyper Light Drifter》环境叙事",,,,,,,,
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
"0:00-5:00
(300s)","Z1a. 坠机冰原
(Cinematic Linear)","P1-C. 醒来
(Awakening)",1,"恢复意识
感受世界","[叙事驱动] 过场动画展示坠机全过程（10s CG/实时渲染）。
玩家醒来后，控制权缓慢交还（先只能看，再能移动，最后能跳）。
[环境] 极光在破碎的镜片天空中流转。没有任何威胁，没有任何UI。
[声音设计] 极度安静——只有风声、呼吸声、脚步踩雪声。","[无]
(纯叙事)
移动能力渐进解锁：
0s 视角控制
10s 移动
30s 冲刺
60s 跳跃","【验证：无（纯体验段）】
1. 不设任何游戏性验证
2. 玩家可以慢慢走，观察世界
3. 伊恩的独白作为唯一引导：'真安静……'
4. 远处一个微弱的光点是唯一方向提示
5. 任何尝试奔跑的玩家会发现脚步声被'吸收'——伏笔","[锚点A] 坠机点。
[叙事] N-01触发：伊恩的苏醒独白（世界观铺垫）。
[氛围] 无BGM，只有环境音设计。
[视觉] 极光+破碎镜片天空（示巴星标志）。
[伏笔] 脚步声被吞噬 → 暗示'大静默'。"
"5:00-10:00
(300s)","Z1b. 沉默走廊
(Narrative Corridor)","P1-C. 第一声
(First Sound)",3,"尝试发出声音
获取第一把武器","[机制] 玩家发现自己的所有声音都被'吸收'——脚步无声、冲刺无声、碰撞无声。
[引导] 走廊尽头有一个发光的星图仓，接近时会自动开启。
[环境叙事] 墙壁上有古老的壁画——描绘鸣钟者曾经的辉煌乐章。
[转折] 拿到涟漪后第一次射击 → 声波在世界中产生可见的彩色涟漪 → 世界开始'响应'。","[星核：涟漪]
(声波弹)
在走廊尽头的
星图仓中拾取
（零战斗获取）","【验证：声音即存在】
1. 获取涟漪前 → 世界无声、无色（后处理去饱和度80%）
2. 第一次射击 → 声波击中处出现短暂色彩（粒子+后处理恢复）
3. 射击不同表面 → 不同的回声效果（冰=清脆，石=沉闷，金属=共鸣）
4. 壁画被声波击中 → 短暂'活过来'，播放历史画面","[武器获取] 星图仓（叙事驱动，无战斗门槛）。
[叙事] 守夜人解释'大静默'。
[视觉] 声波=色彩 → 核心视觉语言建立。
[互动] 壁画x5（可选探索，补充Lore）。
[转折点] 从无声到有声 → 情感高点。"
"10:00-18:00
(480s)","Z1c. 回音长廊
(Narrative + Tutorial Combat)","P1-C. 历史的回声
(Echoes of History)",4,"聆听过去
首次战斗","[环境] 墙壁上有12段古老壁画和文字。用声波'激活'壁画，播放鸣钟者的历史录音。
[渐进威胁] 每激活3段壁画，会从壁画中'苏醒'1只碎晶爬行者（历史的守卫）。
共4只，逐个出现（1v1教学）。
[机关] 长廊尽头有叹息之墙。","[战斗经验]
(通过逐个击败守卫
自然学会热量管理)
无新装备获取","【验证：叙事参与 + 渐进战斗】
1. 壁画互动 → 了解鸣钟者历史（Lore收集）
2. 第1只守卫 → 教学基础射击
3. 第2只守卫 → 教学走位（冲锋）
4. 第3只守卫 → 教学热量管理（再生盾）
5. 第4只守卫 → 综合考验
6. 叹息墙破解 → 教学环境互动","[叙事] 12段壁画录音（鸣钟者编年史）。
[收集] 完整解读12段 → Lore成就。
[秘密] 第13段隐藏录音（在墙壁裂缝后，需声波探测）。
[教学] 战斗从1v1逐步升级，极其温和。
[硬锁] 叹息墙（涟漪+共振水晶）。"
"18:00-25:00
(420s)","Z2a. 叹息峡谷
(Linear -> Open)","P1-C. 漫步
(Wander)",2,"漫步峡谷
欣赏风景","[环境] 峡谷两侧是美丽的冰晶管风琴建筑群。
[无威胁] 完全没有敌人。只有悠扬的环境音效。
[叙事] 伊恩讲述鸣钟者的音乐文明。","[无]
(纯叙事+氛围)","【验证：无（纯体验段）】
1. 自由漫步峡谷
2. 欣赏冰晶建筑
3. 收集散落的录音日志
4. 了解鸣钟者的音乐文化","[POI] 冰晶管风琴建筑群（拍照点）。
[收集] 录音日志x5。
[叙事] N-05触发：伊恩看到管风琴山脉的感叹。
[节奏] 张力最低点 → 为后续战斗蓄力。"
"25:00-32:00
(420s)","Z2b. 峡谷深处
(Open -> Choke)","P1-C. 觉醒
(Awakening)",5,"首次遭遇敌人
保护脆弱的自己","[敌人] 碎晶爬行者x3 + 静滞浮雷x1。
[地形] 峡谷深处的狭窄通道。
[转折] 这是第一次必须战斗的场合。","[星核：实弹]
(机枪)
在通道中段
拾取备用枪械","【验证：实战应用】
1. 第一次在真实威胁下战斗
2. 碎晶爬行者有再生盾 → 必须按住左键
3. 浮雷需要精确射击或游击
4. 击杀后继续前进","[首次强制战斗] 3v1实战。
[出口] 峡谷深处出口。
[叙事] N-02触发：首次开火后远山变红。
[成长感] 从'听故事'到'参与故事'。"
"32:00-40:00
(480s)","Z3a. 回音枢纽外围
(Hub Entrance)","P1-C. 重逢
(Reunion)",4,"进入回音枢纽
了解文明遗迹","[环境] 宏伟的倒置管风琴遗迹。
[轻度威胁] 圣歌守卫x1在远处，可被发现或忽略。
[叙事] 守夜人揭示这是鸣钟者的'合唱团舞台'。","[辅助：穿透]
(声波自带特性)
知识锁：
能力早已拥有","【验证：知识应用】
1. 圣歌守卫正面无敌 → 声波穿墙
2. 观察+战术制定 → 不冲动
3. 击杀或绕过 → 自由选择","[POI] 回音枢纽入口（宏伟建筑）。
[叙事] N-05触发：'看那些管风琴山脉……它们曾经是个辉煌的乐队。'
[节奏] 叙事与轻度战斗交织。"
"40:00-50:00
(600s)","Z3b. 枢纽核心
(Hub Core)","P1-C. 启示
(Revelation)",6,"深入核心
发现星球秘密","[发现] 中央有一个巨大的'沉默之钟'——大静默的源头。
[敌人] 幽灵共鸣者x2（不可见，声波探测）。
[解谜] 用声波'敲响'沉默之钟 → 触发历史画面。","[光帆：相位]
(无敌冲刺)
在沉默之钟
底部拾取","【验证：声波探路 + 剧情参与】
1. 幽灵共鸣者不可见 → 声波探测
2. 沉默之钟解谜 → 声波激活
3. 历史画面播放 → 了解大静默真相
4. 拾取光帆 → 获得新能力","[核心发现] 沉默之钟（大静默源头）。
[新能力] 光帆相位。
[剧情] 大静默真相揭示 → 情感冲击。
[节奏] 从容解谜 → 情感高潮。"
"50:00-60:00
(600s)","Z4入口. 孵化深渊
(Dungeon Entrance)","P1-C. 告别
(Farewell)",5,"面对深渊
第一幕终结","[环境] 深渊入口是一个巨大的、向下延伸的声波管道。
[选择] A.深入（挑战）B.返回枢纽（结束第一幕）
[叙事] 伊恩和守夜人的对话：'我们准备好了吗？'","[视情况]
(深入获得更多)","【验证：自我选择】
1. 无论选择深入或返回都给予肯定
2. 第一幕结束感
3. 成就感建立","[分支点] 深渊入口（自我选择）。
[结局] 第一幕结束动画。
[悬念] '下面的世界，更安静……'
[总结] 叙事完整，体验闭环。"
方案三心流曲线：,1→3→4→2→5→4→6→5,,,,,,,
"方案三·心流曲线图示：",,,,,,,,
" 0:00  █░░░░░░░░░ 1/10  (纯叙事·无互动)",,,,,,,,
" 5:00  ███░░░░░░░ 3/10  (声音探索·世界对话)",,,,,,,,
"10:00  ████░░░░░░ 4/10  (壁画叙事·渐进1v1)",,,,,,,,
"18:00  ██░░░░░░░░ 2/10  (峡谷漫步·纯氛围)",,,,,,,,
"25:00  █████░░░░░ 5/10  (首次实战)",,,,,,,,
"32:00  ████░░░░░░ 4/10  (回音枢纽·轻度战斗)",,,,,,,,
"40:00  ██████░░░░ 6/10  (沉默之钟·真相揭示)",,,,,,,,
"50:00  █████░░░░░ 5/10  (分支选择)",,,,,,,,
"方案三特点：波浪式起伏，叙事驱动型。强调'听'与'说'的隐喻，将玩法与主题深度绑定。",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"【方案四：双线叙事型 — Parallel Echoes】",,,,,,,,
"设计理念：同一时空下的双线叙事——玩家在当前探索时，过去的故事在'回声'中同步上演。适合喜欢拼图式叙事的玩家。",,,,,,,,
"参考游戏：《Braid》时间谜题 + 《Titanfall 2》'Effect and Cause' + 《Titan Souls》双线探索",,,,,,,,
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
"0:00-4:00
(240s)","Z1a. 坠机点 + 记忆碎片
(Cinematic -> Dual)","P1-D. 双重视界
(Dual Vision)",4,"开始游戏
发现异常","[双线] 玩家在坠机点醒来，同时看到'过去’的自己在坠机（幻影）。
[当前] 安全的、可探索的坠机点。
[过去] 坠机发生的完整过程（无声画面）。
[异常] 过去的'自己'正经历死亡危机。","[基础移动]
(冲刺/跳跃/二段跳)
开局自带","【验证：观察+连接】
1. 探索当前 → 收集信息
2. 观察过去幻影 → 发现隐藏线索
3. 在特定位置 → 两个时空交汇
4. 过去存活=获得额外奖励","[锚点A] 坠机点（双线交汇）。
[双线] 当前+过去同时可视。
[收集] 当前：数据终端。 过去：幻影行为。
[叙事] N-01触发：伊恩发现时间异常。"
